ABF File,Condition,Saved As Excel,Start Seconds,Stop Seconds,dv/dt Threshold,mV min/threshold,Cell Number,Male/Female,Notes,,,,
19114001,ctrl,19114001,0,59.99,50,-10,1,M,median filter is 5 for every file!,,,,
19116000,ctrl,19116000,0,59.99,30,-20,3,M,,,,,
19227003,ctrl,19227003,120.2197686,208.8057914,15,-20,5,M,,,,,
19227007,ctrl,19227007,0,185.89995,10,-20,6,M,,,,,
19306004,ctrl,19306004ctrl,0.071276864,50.00268438,20,-20,8,M,,,,,
19306004,ISO,19306004iso100nM,99.56545675,130.742155,8,-20,8,M,,,,,
19306005,ctrl,19306005ctrl,53.20846584,90.14353448,20,-20,9,M,,,,,
19306005,ISO,19306005iso100nM,175.1022707,223.6938208,10,-20,9,M,,,,,
19307008,ctrl,19307008ctrl,9.429231884,40.90522896,15,-20,11,M,,,,,
19307008,ISO,19307008iso100nM,141.302204,169.1601518,9,-20,11,M,,,,,
19325001,ctrl,19325001ctrl,17.69986269,43.18546793,20,-20,12,M,,,,,
19325001,ISO,19325001iso100nM,92.06884948,120.0808484,20,-20,12,M,,,,,
,,,,,,,,,,,,,
19416000,ctrl,19416000,0.183526388,50.91837686,7,-20,3,F,,,,,
19416003,ctrl,19416003,0.140071972,3.283150377,20,-20,5,F,,,,,
19503001,ctrl,19503001ctrl,0.914671109,48.91661089,20,-20,7,F,,,,,
19503001,1nM,19503001_1nM,83.45437228,131.4561857,20,-20,7,F,,,,,
19503001,10nM,19503001_10nM,151.9447646,182.9703269,20,-20,7,F,,,,,
19503001,30nM,19503001_30nm,189.4095946,239.7529599,20,-20,7,F,,,,,
19503001,70nM,19503001_70nm,243.8506757,269.0223583,20,-20,7,F,,,,,
19503004,ctrl,19503004ctrl,0.327963662,52.80214951,20,-20,8,F,,,,,
19503006,ctrl,19503006ctrl,0.837622412,50.6929084,30,-10,9,F,,,,,
19503006,1nM,19503006_1nM,64.89898451,102.4244686,30,-10,9,F,,,,,
19503006,10nM,19503006_10nM,134.32113,172.6507316,30,-10,9,F,,,,,
19503006,30nM,19503006_30nM,190.0732778,240.196603,30,-10,9,F,,,,,
19503006,70nM,19503006_70nM,274.505617,308.814631,15,-10,9,F,,,,,
19508002,ctrl,19508002,499.6528573,600.2894251,15,-10,10,F,,,,,
19508003,ctrl,19508003,9.400341878,17.60714612,15,-10,11,F,,,,,
19508004,ctrl,19508004,0.015089916,59.77115751,None,-10,12,F,,,,,
19508007,ctrl,19508007ctrl,33.20007573,68.40015602,20,-10,13,F,,,,,
19508007,10nM,19508007_10nM,99.23658999,149.8548873,20,-10,13,F,,,,,
19508007,30nM,19508007_30nM,199.3095455,249.9278428,20,-10,13,F,,,,,
19514001,ctrl,19514001ctrl,38.99720781,115.4576826,15,-10,14,F,,,,,
19514001,10nM,1951400110nM,215.0374806,256.2398493,15,-10,14,F,,,,,
19514001,70nM,1951400170nM,549.943782,579.9773959,15,-10,14,F,,,,,
19521000,ctrl,19521000,72.920975,117.7378777,30,-10,15,F,,,,,
19530003,ctrl,19530003ctrl,16.90544517,90.90396071,30,-10,16,F,,,,,
19530003,10nM,1953000310nM,152.3978014,188.4022737,30,-10,16,F,,,,,
19530003,30nM,1953000330nM,254.0448857,288.7116721,30,-10,16,F,,,,,
19530003,70nM,1953000370nM,420.1960419,438.4827717,30,-10,16,F,,,,,
19530004,ctrl,19530004ctrl,0.327820443,119.3922052,15,-10,17,F,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,